Fecha,Territorio,Confirmados_PCR,Confirmados_PCR_14_días,Confirmados_PCR_7_días,Total_confirmados,Hospitalizados,Total_UCI,Fallecidos,Curados
2020-02-26,Sevilla,0,0,0,1,0,0,0,0
2020-02-26,Andalucía,0,0,0,1,0,0,0,0
2020-02-26,Almería,0,0,0,0,0,0,0,0
2020-02-26,Cádiz,0,0,0,0,0,0,0,0
2020-02-26,Málaga,0,0,0,0,0,0,0,0
2020-02-26,Granada,0,0,0,0,0,0,0,0
2020-02-26,Jaén,0,0,0,0,0,0,0,0
2020-02-26,Córdoba,0,0,0,0,0,0,0,0
2020-02-26,Huelva,0,0,0,0,0,0,0,0
2020-02-27,Sevilla,0,0,0,1,0,0,0,0
2020-02-27,Málaga,0,0,0,4,0,0,0,0
2020-02-27,Jaén,0,0,0,0,0,0,0,0
2020-02-27,Huelva,0,0,0,0,0,0,0,0
2020-02-27,Granada,0,0,0,0,0,0,0,0
2020-02-27,Córdoba,0,0,0,0,0,0,0,0
2020-02-27,Cádiz,0,0,0,0,0,0,0,0
2020-02-27,Almería,0,0,0,1,0,0,0,0
2020-02-27,Andalucía,0,0,0,6,0,0,0,0
2020-02-28,Andalucía,0,0,0,8,0,0,0,0
2020-02-28,Almería,0,0,0,1,0,0,0,0
2020-02-28,Cádiz,0,0,0,0,0,0,0,0
2020-02-28,Córdoba,0,0,0,0,0,0,0,0
2020-02-28,Málaga,0,0,0,4,0,0,0,0
2020-02-28,Huelva,0,0,0,0,0,0,0,0
2020-02-28,Jaén,0,0,0,1,0,0,0,0
2020-02-28,Sevilla,0,0,0,2,0,0,0,0
2020-02-28,Granada,0,0,0,0,0,0,0,0
2020-02-29,Andalucía,0,0,0,10,0,0,0,0
2020-02-29,Almería,0,0,0,1,0,0,0,0
2020-02-29,Córdoba,0,0,0,0,0,0,0,0
2020-02-29,Cádiz,0,0,0,0,0,0,0,0
2020-02-29,Huelva,0,0,0,0,0,0,0,0
2020-02-29,Jaén,0,0,0,1,0,0,0,0
2020-02-29,Málaga,0,0,0,6,0,0,0,0
2020-02-29,Sevilla,0,0,0,2,0,0,0,0
2020-02-29,Granada,0,0,0,0,0,0,0,0
2020-03-01,Almería,0,0,0,1,0,0,0,0
2020-03-01,Cádiz,0,0,0,0,0,0,0,0
2020-03-01,Córdoba,0,0,0,0,0,0,0,0
2020-03-01,Andalucía,0,0,0,10,0,0,0,0
2020-03-01,Huelva,0,0,0,0,0,0,0,0
2020-03-01,Jaén,0,0,0,1,0,0,0,0
2020-03-01,Málaga,0,0,0,6,0,0,0,0
2020-03-01,Sevilla,0,0,0,2,0,0,0,0
2020-03-01,Granada,0,0,0,0,0,0,0,0
2020-03-02,Andalucía,0,0,0,10,0,0,0,0
2020-03-02,Almería,0,0,0,1,0,0,0,0
2020-03-02,Cádiz,0,0,0,0,0,0,0,0
2020-03-02,Córdoba,0,0,0,0,0,0,0,0
2020-03-02,Granada,0,0,0,0,0,0,0,0
2020-03-02,Jaén,0,0,0,1,0,0,0,0
2020-03-02,Málaga,0,0,0,6,0,0,0,0
2020-03-02,Sevilla,0,0,0,2,0,0,0,0
2020-03-02,Huelva,0,0,0,0,0,0,0,0
2020-03-03,Andalucía,0,0,0,11,0,0,0,0
2020-03-03,Almería,0,0,0,1,0,0,0,0
2020-03-03,Córdoba,0,0,0,0,0,0,0,0
2020-03-03,Cádiz,0,0,0,0,0,0,0,0
2020-03-03,Huelva,0,0,0,0,0,0,0,0
2020-03-03,Sevilla,0,0,0,2,0,0,0,0
2020-03-03,Granada,0,0,0,0,0,0,0,0
2020-03-03,Jaén,0,0,0,1,0,0,0,0
2020-03-03,Málaga,0,0,0,7,0,0,0,0
2020-03-04,Sevilla,0,0,0,2,0,0,0,0
2020-03-04,Málaga,0,0,0,7,0,0,0,0
2020-03-04,Jaén,0,0,0,1,0,0,0,0
2020-03-04,Huelva,0,0,0,0,0,0,0,0
2020-03-04,Granada,0,0,0,0,0,0,0,0
2020-03-04,Córdoba,0,0,0,0,0,0,0,0
2020-03-04,Cádiz,0,0,0,0,0,0,0,0
2020-03-04,Almería,0,0,0,1,0,0,0,0
2020-03-04,Andalucía,0,0,0,11,0,0,0,0
2020-03-05,Andalucía,0,0,0,15,0,0,0,0
2020-03-05,Almería,0,0,0,1,0,0,0,0
2020-03-05,Cádiz,0,0,0,0,0,0,0,0
2020-03-05,Córdoba,0,0,0,0,0,0,0,0
2020-03-05,Málaga,0,0,0,9,0,0,0,0
2020-03-05,Huelva,0,0,0,0,0,0,0,0
2020-03-05,Jaén,0,0,0,1,0,0,0,0
2020-03-05,Granada,0,0,0,0,0,0,0,0
2020-03-05,Sevilla,0,0,0,4,0,0,0,0
2020-03-06,Córdoba,0,0,0,0,0,0,0,0
2020-03-06,Andalucía,0,0,0,26,0,0,0,0
2020-03-06,Almería,0,0,0,1,0,0,0,0
2020-03-06,Cádiz,0,0,0,0,0,0,0,0
2020-03-06,Granada,0,0,0,0,0,0,0,0
2020-03-06,Jaén,0,0,0,3,0,0,0,0
2020-03-06,Málaga,0,0,0,18,0,0,0,0
2020-03-06,Sevilla,0,0,0,4,0,0,0,0
2020-03-06,Huelva,0,0,0,0,0,0,0,0
2020-03-07,Andalucía,0,0,0,34,0,0,0,0
2020-03-07,Almería,0,0,0,1,0,0,0,0
2020-03-07,Cádiz,0,0,0,1,0,0,0,0
2020-03-07,Córdoba,0,0,0,0,0,0,0,0
2020-03-07,Huelva,0,0,0,0,0,0,0,0
2020-03-07,Jaén,0,0,0,5,0,0,0,0
2020-03-07,Málaga,0,0,0,22,0,0,0,0
2020-03-07,Sevilla,0,0,0,5,0,0,0,0
2020-03-07,Granada,0,0,0,0,0,0,0,0
2020-03-08,Cádiz,0,0,0,2,0,0,0,0
2020-03-08,Andalucía,0,0,0,41,0,0,0,0
2020-03-08,Almería,0,0,0,1,0,0,0,0
2020-03-08,Córdoba,0,0,0,0,0,0,0,0
2020-03-08,Sevilla,0,0,0,5,0,0,0,0
2020-03-08,Huelva,0,0,0,0,0,0,0,0
2020-03-08,Jaén,0,0,0,6,0,0,0,0
2020-03-08,Málaga,0,0,0,27,0,0,0,0
2020-03-08,Granada,0,0,0,0,0,0,0,0
2020-03-09,Andalucía,0,0,0,59,0,0,0,0
2020-03-09,Almería,0,0,0,2,0,0,0,0
2020-03-09,Córdoba,0,0,0,0,0,0,0,0
2020-03-09,Cádiz,0,0,0,2,0,0,0,0
2020-03-09,Huelva,0,0,0,1,0,0,0,0
2020-03-09,Sevilla,0,0,0,5,0,0,0,0
2020-03-09,Granada,0,0,0,0,0,0,0,0
2020-03-09,Jaén,0,0,0,7,0,0,0,0
2020-03-09,Málaga,0,0,0,42,0,0,0,0
2020-03-10,Málaga,0,0,0,59,0,0,0,0
2020-03-10,Jaén,0,0,0,10,0,0,0,0
2020-03-10,Huelva,0,0,0,1,0,0,0,0
2020-03-10,Granada,0,0,0,0,0,0,0,0
2020-03-10,Córdoba,0,0,0,1,0,0,0,0
2020-03-10,Cádiz,0,0,0,2,0,0,0,0
2020-03-10,Almería,0,0,0,3,0,0,0,0
2020-03-10,Andalucía,0,0,0,82,0,0,0,0
2020-03-10,Sevilla,0,0,0,6,0,0,0,0
2020-03-11,Andalucía,0,0,0,95,0,0,0,0
2020-03-11,Almería,0,0,0,3,0,0,0,0
2020-03-11,Cádiz,0,0,0,6,0,0,0,0
2020-03-11,Córdoba,0,0,0,2,0,0,0,0
2020-03-11,Jaén,0,0,0,10,0,0,0,0
2020-03-11,Huelva,0,0,0,1,0,0,0,0
2020-03-11,Málaga,0,0,0,67,0,0,0,0
2020-03-11,Sevilla,0,0,0,6,0,0,0,0
2020-03-11,Granada,0,0,0,0,0,0,0,0
2020-03-12,Andalucía,0,0,0,158,0,0,0,0
2020-03-12,Almería,0,0,0,4,0,0,0,0
2020-03-12,Granada,0,0,0,13,0,0,0,0
2020-03-12,Cádiz,0,0,0,11,0,0,0,0
2020-03-12,Córdoba,0,0,0,3,0,0,0,0
2020-03-12,Jaén,0,0,0,17,0,0,0,0
2020-03-12,Málaga,0,0,0,97,0,0,0,0
2020-03-12,Sevilla,0,0,0,11,0,0,0,0
2020-03-12,Huelva,0,0,0,2,0,0,0,0
2020-03-13,Almería,0,0,0,13,0,0,0,0
2020-03-13,Cádiz,0,0,0,21,2,0,0,0
2020-03-13,Córdoba,0,0,0,18,3,0,0,0
2020-03-13,Andalucía,0,0,0,269,75,0,2,0
2020-03-13,Huelva,0,0,0,4,0,0,0,0
2020-03-13,Jaén,0,0,0,34,10,0,0,0
2020-03-13,Málaga,0,0,0,128,46,0,2,0
2020-03-13,Sevilla,0,0,0,29,8,0,0,0
2020-03-13,Granada,0,0,0,22,6,0,0,0
2020-03-14,Andalucía,0,0,0,437,134,0,6,0
2020-03-14,Almería,0,0,0,14,1,0,0,0
2020-03-14,Cádiz,0,0,0,34,8,0,0,0
2020-03-14,Córdoba,0,0,0,37,6,0,0,0
2020-03-14,Granada,0,0,0,57,20,0,0,0
2020-03-14,Jaén,0,0,0,47,3,0,2,0
2020-03-14,Málaga,0,0,0,180,81,0,4,0
2020-03-14,Sevilla,0,0,0,62,15,0,0,0
2020-03-14,Huelva,0,0,0,6,0,0,0,0
2020-03-15,Andalucía,0,0,0,554,160,0,7,0
2020-03-15,Almería,0,0,0,23,1,0,0,0
2020-03-15,Cádiz,0,0,0,48,3,0,0,0
2020-03-15,Córdoba,0,0,0,41,7,0,0,0
2020-03-15,Huelva,0,0,0,6,5,0,0,0
2020-03-15,Sevilla,0,0,0,84,21,0,0,0
2020-03-15,Granada,0,0,0,67,28,0,0,0
2020-03-15,Jaén,0,0,0,50,10,0,2,0
2020-03-15,Málaga,0,0,0,235,85,0,5,0
2020-03-16,Málaga,0,0,0,278,97,0,6,0
2020-03-16,Jaén,0,0,0,52,8,0,2,0
2020-03-16,Huelva,0,0,0,8,1,0,0,0
2020-03-16,Granada,0,0,0,95,36,0,2,0
2020-03-16,Córdoba,0,0,0,68,18,0,0,0
2020-03-16,Cádiz,0,0,0,56,3,0,0,0
2020-03-16,Almería,0,0,0,26,3,0,0,0
2020-03-16,Andalucía,0,0,0,683,200,0,11,0
2020-03-16,Sevilla,0,0,0,100,34,0,1,0
2020-03-17,Andalucía,0,0,0,859,223,0,19,0
2020-03-17,Almería,0,0,0,30,3,0,0,0
2020-03-17,Cádiz,0,0,0,74,3,0,0,0
2020-03-17,Córdoba,0,0,0,78,19,0,0,0
2020-03-17,Jaén,0,0,0,77,10,0,2,0
2020-03-17,Huelva,0,0,0,14,4,0,0,0
2020-03-17,Sevilla,0,0,0,123,42,0,1,0
2020-03-17,Granada,0,0,0,130,29,0,6,0
2020-03-17,Málaga,0,0,0,333,113,0,10,0
2020-03-18,Cádiz,0,0,0,84,15,0,0,0
2020-03-18,Andalucía,0,0,0,1008,307,0,23,0
2020-03-18,Almería,0,0,0,37,7,0,0,0
2020-03-18,Córdoba,0,0,0,101,26,0,0,0
2020-03-18,Huelva,0,0,0,23,15,0,0,0
2020-03-18,Sevilla,0,0,0,138,53,0,1,0
2020-03-18,Granada,0,0,0,176,66,0,7,0
2020-03-18,Jaén,0,0,0,88,32,0,2,0
2020-03-18,Málaga,0,0,0,361,93,0,13,0
2020-03-19,Almería,0,0,0,46,9,0,0,0
2020-03-19,Cádiz,0,0,0,103,19,0,0,0
2020-03-19,Córdoba,0,0,0,125,25,0,0,0
2020-03-19,Andalucía,0,0,0,1287,367,0,30,0
2020-03-19,Huelva,0,0,0,36,13,0,0,0
2020-03-19,Jaén,0,0,0,119,41,0,2,0
2020-03-19,Málaga,0,0,0,424,109,0,17,0
2020-03-19,Sevilla,0,0,0,190,64,0,1,0
2020-03-19,Granada,0,0,0,244,87,0,10,0
2020-03-20,Andalucía,0,0,0,1515,503,0,40,0
2020-03-20,Almería,0,0,0,53,13,0,0,0
2020-03-20,Cádiz,0,0,0,126,27,0,0,0
2020-03-20,Córdoba,0,0,0,143,34,0,3,0
2020-03-20,Granada,0,0,0,289,100,0,13,0
2020-03-20,Jaén,0,0,0,138,63,0,2,0
2020-03-20,Sevilla,0,0,0,245,89,0,2,0
2020-03-20,Huelva,0,0,0,37,16,0,0,0
2020-03-20,Málaga,0,0,0,484,161,0,20,0
2020-03-21,Cádiz,0,0,0,134,34,0,2,0
2020-03-21,Andalucía,0,0,0,1725,616,0,47,0
2020-03-21,Almería,0,0,0,58,17,0,1,0
2020-03-21,Córdoba,0,0,0,180,39,0,3,0
2020-03-21,Huelva,0,0,0,47,24,0,0,0
2020-03-21,Sevilla,0,0,0,295,126,0,4,0
2020-03-21,Granada,0,0,0,335,145,0,13,0
2020-03-21,Jaén,0,0,0,171,62,0,3,0
2020-03-21,Málaga,0,0,0,505,169,0,21,0
2020-03-22,Málaga,0,0,0,520,192,0,21,34
2020-03-22,Jaén,0,0,0,215,79,0,5,5
2020-03-22,Huelva,0,0,0,58,29,0,1,0
2020-03-22,Granada,0,0,0,374,169,0,17,0
2020-03-22,Córdoba,0,0,0,191,50,0,4,0
2020-03-22,Cádiz,0,0,0,178,50,0,3,4
2020-03-22,Almería,0,0,0,74,23,0,2,2
2020-03-22,Andalucía,0,0,0,1961,744,0,58,50
2020-03-22,Sevilla,0,0,0,351,152,0,5,5
2020-03-23,Andalucía,0,0,0,2471,1132,0,87,66
2020-03-23,Almería,0,0,0,91,39,0,5,3
2020-03-23,Cádiz,0,0,0,245,73,0,3,4
2020-03-23,Córdoba,0,0,0,234,100,0,6,0
2020-03-23,Jaén,0,0,0,259,134,0,12,5
2020-03-23,Huelva,0,0,0,70,38,0,1,2
2020-03-23,Sevilla,0,0,0,427,200,0,13,5
2020-03-23,Granada,0,0,0,480,215,0,21,1
2020-03-23,Málaga,0,0,0,665,333,0,26,46
2020-03-24,Cádiz,0,0,0,278,84,0,4,4
2020-03-24,Andalucía,0,0,0,3010,1433,0,113,71
2020-03-24,Almería,0,0,0,115,50,0,5,5
2020-03-24,Córdoba,0,0,0,291,135,0,6,0
2020-03-24,Huelva,0,0,0,77,42,0,1,2
2020-03-24,Jaén,0,0,0,316,167,0,14,5
2020-03-24,Málaga,0,0,0,819,431,0,40,48
2020-03-24,Sevilla,0,0,0,535,261,0,18,6
2020-03-24,Granada,0,0,0,579,263,0,25,1
2020-03-25,Almería,0,0,0,134,62,0,7,5
2020-03-25,Cádiz,0,0,0,299,92,0,5,4
2020-03-25,Córdoba,0,0,0,349,161,0,7,0
2020-03-25,Andalucía,0,0,0,3406,1626,0,134,77
2020-03-25,Huelva,0,0,0,95,52,0,2,2
2020-03-25,Jaén,0,0,0,349,189,0,15,5
2020-03-25,Málaga,0,0,0,905,490,0,42,52
2020-03-25,Sevilla,0,0,0,627,293,0,24,8
2020-03-25,Granada,0,0,0,648,287,0,32,1
2020-03-26,Andalucía,0,0,0,3793,1843,148,144,92
2020-03-26,Almería,0,0,0,142,65,8,8,6
2020-03-26,Cádiz,0,0,0,348,117,7,6,6
2020-03-26,Córdoba,0,0,0,359,168,13,8,1
2020-03-26,Granada,0,0,0,711,336,38,34,1
2020-03-26,Jaén,0,0,0,414,228,7,15,7
2020-03-26,Málaga,0,0,0,1006,540,40,46,61
2020-03-26,Sevilla,0,0,0,708,329,31,25,8
2020-03-26,Huelva,0,0,0,105,60,4,2,2
2020-03-27,Andalucía,0,0,0,4277,2106,172,175,139
2020-03-27,Almería,0,0,0,173,72,8,10,6
2020-03-27,Córdoba,0,0,0,424,200,13,9,4
2020-03-27,Cádiz,0,0,0,406,156,13,7,8
2020-03-27,Huelva,0,0,0,120,66,4,2,2
2020-03-27,Sevilla,0,0,0,830,383,37,26,13
2020-03-27,Granada,0,0,0,806,396,39,49,11
2020-03-27,Jaén,0,0,0,465,258,10,16,15
